70125,0.05,0.04,-0.61,-0.79
70150,0.05,0.04,-0.61,-0.79
70174,0.05,0.04,-0.62,-0.79
70198,0.05,0.04,-0.62,-0.78
70222,0.05,0.04,-0.62,-0.78
70253,0.05,0.04,-0.62,-0.78
70277,0.05,0.04,-0.62,-0.78
70301,0.05,0.04,-0.63,-0.78
70325,0.05,0.04,-0.63,-0.78
70349,0.05,0.04,-0.63,-0.77
70373,0.05,0.05,-0.63,-0.77
70397,0.05,0.05,-0.63,-0.77
70421,0.06,0.05,-0.63,-0.77
70445,0.06,0.05,-0.63,-0.77
70469,0.06,0.06,-0.63,-0.77
70493,0.06,0.06,-0.63,-0.77
70517,0.06,0.06,-0.63,-0.77
70541,0.07,0.06,-0.63,-0.77
70565,0.07,0.06,-0.63,-0.77
70589,0.07,0.06,-0.63,-0.77
70613,0.07,0.07,-0.63,-0.77
70637,0.08,0.07,-0.63,-0.77
70661,0.08,0.07,-0.63,-0.77
70689,0.09,0.07,-0.63,-0.77
70713,0.09,0.08,-0.63,-0.77
70737,0.09,0.08,-0.63,-0.77
70761,0.09,0.08,-0.63,-0.77
70785,0.09,0.08,-0.63,-0.77
70809,0.10,0.08,-0.63,-0.77
70833,0.10,0.08,-0.63,-0.77
70857,0.10,0.08,-0.63,-0.77
70881,0.10,0.08,-0.63,-0.77
70905,0.10,0.08,-0.63,-0.77
70929,0.10,0.08,-0.63,-0.76
70953,0.10,0.08,-0.64,-0.76
70977,0.10,0.08,-0.64,-0.76
71001,0.10,0.08,-0.64,-0.76
71025,0.11,0.08,-0.64,-0.76
71049,0.11,0.09,-0.64,-0.76
71073,0.12,0.09,-0.64,-0.76
71102,0.12,0.09,-0.64,-0.75
71126,0.13,0.09,-0.64,-0.75
71150,0.13,0.09,-0.64,-0.75
71174,0.14,0.10,-0.64,-0.75
71198,0.15,0.10,-0.64,-0.75
71222,0.15,0.11,-0.64,-0.75
71246,0.16,0.11,-0.64,-0.74
71270,0.16,0.12,-0.64,-0.74
71294,0.17,0.13,-0.64,-0.74
71318,0.17,0.13,-0.64,-0.74
